"Session Monday 28 September 2026 - 09:30 - 10:30 - Keynote speaker - Prof John H. L. Hansen Keynote Monday 28 September 2026 - 11:00-13:00 - Area 1 - Oral 1 - Model of Speech Perception","Paper ID ","Time 09:30 - 10:30  ","Paper Title Balancing Speech, Language and Hearing Science with Machine Learning Modeling in the Age of AI: “Know your Problem, Data, and Solution ","Presenting Author ","Abstract ","Authors ","CN tbhead2 bg-c1 tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","966","11:00-11:20","English Vowel Perceptual Training under Multitalker Babble: A Comparison of Humans and Large Language Models","Wenwei Dong","Perceptual training with multitalker babble might benefit second language (L2) listeners. However, conducting perception experiments with L2 listeners to determine the optimal number of talkers is complex and time-consuming. Neural models are inspired by the function of the human brain and could potentially serve as an alternative. A previous study examined how babble produced by 2 and 6 talkers affected the perceptual learning of L2 listeners and compared human results with Wav2Vec2.0. In this study, we extend this work by exploring multilingual models (the Whisper model and a speech large language model [LLM]: Qwen2.5-Omni-7B) and by evaluating how closely their performance aligns with that of L2 listeners. Our results show that the speech LLM not only improves accuracy through babble training, but also exhibits trends more similar to those of L2 listeners, and it achieves closer accuracy to L2 listeners under speech-shaped noise conditions than the Whisper and Wav2Vec2.0 models.","Wenwei Dong(Radboud University); Alif Silpachai(Radboud University); Catia Cucchiarini(Radboud University); Helmer Strik(Radboud University)","","","","","","","","","","","","","","","","","","",""
"Oral","1574","11:20-11:40","How Speaker Normalization Procedures Influence the Computational Modelling of Non-native Vowel Perception: Implications for the L2LP model","Jooyoung Lee","This study investigates how normalization methods shape L2 vowel perception modelling. We trained multi-layer perceptrons to classify L1 Spanish vowels using F1-F2 data from DIMEx100, varying only the normalization (raw, gender-wise Z, Lobanov, Nearey 1/2, Gerstman). English vowel data from TIMIT were then fed to compare each model's predicted categorization of L2 English vowels into L1 Spanish ones with human data. Lobanov yielded the strongest fit (lowest MAE/RMSE, highest correlation and category match), despite expectations it would overnormalize cross-linguistic differences. Using the L2LP framework, we argue that Lobanov's collapsing of between-language variation simulates L2LP's full copying of L1 categories and normalization patterns for Spanish listeners with no English knowledge. These results suggest that optimal normalization depends on the target listener profile, with Lobanov capturing the initial state and Nearey potentially better modelling further L2 development.","Jooyoung Lee(Western Sydney University); Kakeru Yazawa(University of Tsukuba); James Whang(Seoul National University); Paola Escudero(Western Sydney University)","","","","","","","","","","","","","","","","","","",""
"Oral","2849","11:40-12:00","Closing the Modality Gap via Simplex-Constrained Representations","Shubham Gupta","While multimodal contrastive models like CLIP and CLAP successfully learn shared representations, their embeddings typically exhibit a persistent modality gap. We propose addressing this separation through a purely geometric approach: changing the embedding domain from the unit sphere, Sᵈ⁻¹, to the probability simplex, Δᵈ⁻¹. Although both manifolds share the same intrinsic dimension, the simplex acts as a structural prior; its nonnegative, unit-mass constraints serve as a cross-modal calibration that forces both modalities to ground themselves in the same coordinate system. By attaching lightweight softmax adapters and using Total Variation similarity, we reduce the centroid ℓ₂ gap by 97–99% across five multimodal retrieval benchmarks. This confirms that simplicial geometry induces genuine semantic alignment, matching or exceeding the retrieval performance of standard unconstrained models.","Shubham Gupta(Mila – Québec AI Institute; ServiceNow Research; Université Laval); Siva Reddy(Mila – Québec AI Institute; ServiceNow Research; McGill University); Perouz Taslakian(Mila – Québec AI Institute; ServiceNow Research; McGill University); Valentina Zantedeschi(ServiceNow Research; Université Laval); Cem Subakan(Mila – Québec AI Institute; Université Laval)","","","","","","","","","","","","","","","","","","",""
"Oral","2956","12:00-12:20","Effects of distributional bias in vowels and consonants on the Speech-to-Song Illusion","Haruki Kagotani","This study investigates how the distribution of phonemes in speech samples (proportions and types of vowels and consonants) as well as the instruction method (either speech-song or speech-rap scale) affect the perceived strength of the Speech-to-Song (STS) illusion. We conducted a listening experiment with 120 native Japanese-speakers using Japanese short phrases in which the distribution of phonemes was systematically manipulated. Participants rated song-likeness or rap-likeness of stimuli before and after repeated presentation of the phrases. Results revealed that stimuli with biased vowel/consonant distribution elicited significantly stronger illusions than non-biased counterparts. Moreover, the Rap instruction (the instruction to judge rap-likeness rather than song-likeness) yielded consistently higher ratings than the Song instruction. These results demonstrate both phonological structure of stimuli and listening modes play important roles in perception of the STS illusion.","Haruki Kagotani(University of Tsukuba); Hiroko Terasawa(University of Tsukuba); Makiko Sadakata(University of Amsterdam)","","","","","","","","","","","","","","","","","","",""
"Oral","1891","12:20-12:40","Deep learning-based predictions of perceived listening effort and intelligibility across enhanced, synthetic, natural, and binaural speech","Dirk Eike Hoffner","Models of auditory perception that accurately predict subjective listening effort (LE) and speech intelligibility (SI) are important tools in hearing research. In this paper, we analyze the predictive power of two deep-learning models for a wide range of tasks, which cover speech enhancement in hearing aids, perception in binaural scenes, as well as synthetic speech. The PHOne-based Binaural Intelligibility model (PHOBI) is based on phone posteriors obtained from a deep neural net trained as part of speech recognizer, while HASANet+ is a teacher-student model trained to mimic intrusive measures of SI. We analyze over 10,500 LE and SI ratings collected from 39 listeners and find that both models produce high correlations between measurement and prediction over 0.88, which included LE metrics for which the models were not explicitly designed. While PHOBI produces slightly better results on average, both models seem to be applicable to conditions that are not covered in training.","Dirk Eike Hoffner(Carl von Ossietzky Universität Oldenburg); Hartmut Schoon(Carl von Ossietzky Universität Oldenburg ); Rainer Huber(Communications Acoustics, Carl von Ossietzky Universität Oldenburg; Fraunhofer Institute for Digital Media Technology IDMT, Branch Hearing, Speech and Audio Technology HSA); Jan Rennies(Carl von Ossietzky Universität Oldenburg; Fraunhofer Institute for Digital Media Technology); Bernd T. Meyer(Communications Acoustics, Carl von Ossietzky Universität Oldenburg; Cluster of Excellence Hearing4all, Carl von Ossietzky Universit¨at Oldenburg)","","","","","","","","","","","","","","","","","","",""
"Oral","1290","12:40-13:00","Mutual Cancellation between Masking Effects Benefits Speech Intelligibility","Yixin Gu","Informational masking (IM) induced by competing speech impairs listeners' ability to understand target speech. This interference is strongest when the target and masker share similar acoustic and linguistic features. Intelligibility also suffers from modulation masking (MM), where the masker's modulation disrupts that of the target in multiple domains during auditory processing. In this study, energetic masking (EM) was constrained using an intelligibility model by equalizing high-energy glimpses. English sentences were masked by competing speech in English, Mandarin, or modulation-controlled noise. Word recognition results showed that listener performance was a consequence of IM release benefited from language dissimilarity that was counterbalanced by IM due to the reduced level cue between the target and masker. Reducing masker modulation in spectro-temporal and temporal domains improved listening performance. The release from MM could even cancel EM for improved intelligibility.","Yixin Gu(University of Illinois Urbana-Champaign); Yan Tang(University of Illinois Urbana-Champaign; Beckman Institute for Advanced Science and Technology)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 11:00-13:00 - Area 4 - Oral 1 - Speaker Verification: Advances in Speaker Embeddings","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","3192","11:00-11:20","Beyond Short Segments : Expanding Speaker Embeddings with Vector Archives","Hyunku Kang","The performance of state-of-the-art speaker verification (SV) systems severely degrades on short utterances due to insufficient speaker-specific information. To address this critical challenge, we propose the Vector Archive Mapping ECAPA (VAM-ECAPA), a novel system designed to enhance feature extraction from short-duration speech. The core of our system is the Transformer-based Vector Archive Mapping with Statistical Pooling (TVAMSP) module, which enriches information-scarce features by mapping them against a learnable Vector Archive of canonical speaker traits. By integrating the TVAMSP module into a strong WavLM+ECAPA-TDNN baseline, our system learns to map sparse features from short segments into robust, discriminative speaker representations. Experiments on the VoxCeleb1 benchmark show that our proposed VAM-ECAPA achieves a highly competitive EER of 8.334% on 1-second test segments, a 54.8% relative error reduction compared to a conventionally-trained baseline.","Hyunku Kang(Korea University); Minkyu Cho(Korea University); Chanwoo Kim(Korea University)","","","","","","","","","","","","","","","","","","",""
"Oral","1146","11:20-11:40","Revisiting Label-Free Speaker Embedding Enhancement with vMF Profile Likelihood","Seunghwan Kim","Embedding enhancement improves speaker verification under acoustic mismatch without modifying a frozen backbone. Recent work has established a practical label-free setting for this task, but often adopts increasingly structured formulations. Here, the clean target is directly observed during training, making enhancement a matching problem on the unit hypersphere. We model the clean target with a von Mises-Fisher (vMF) likelihood and profile out a sample-wise concentration parameter, yielding a simple closed-form objective with adaptive weighting. Across VoxCeleb1, VoxSRC23, CN-Celeb, VOiCES, and VC-Mix, the proposed method largely preserves the baseline and gives clearer gains on challenging mismatch sets. It also remains stable under a broad single-view recipe, where a recent diffusion baseline becomes less reliable in controlled comparisons. These results suggest that effective label-free embedding enhancement in this setting does not require a highly structured formulation.","Seunghwan Kim(Seoul National University); Jinyong Kim(Seoul National University); Sooyoung Yang(Seoul National University); Youngjin Ko(Seoul National University); Myungjoo Kang(Seoul National University; Research Institute of Mathematics)","","","","","","","","","","","","","","","","","","",""
"Oral","1796","11:40-12:00","On the Robustness of Speaker Embeddings for Cross-Domain Speaker Retrieval","Chuanqi Huang","Deploying speaker retrieval systems requires robust cross-domain embedding generalization. However, existing benchmarks focus on verification metrics, leaving ranking stability under retrieval constraints under-explored. This paper evaluates six pre-trained embedding models across multiple cross-domain scenarios. First, while supervised multi-scale models resist channel filtering and aging drift, most architectures overfit to language-specific phonetic variations under cross-lingual mismatch. Second, we leverage adaptive symmetric normalization as a training-free backend strategy to improve retrieval performance. By selecting high-scoring background cohorts to estimate localized score statistics, this strategy normalizes global shifts caused by channel distortions and restores ranking consistency across all models. These insights demonstrate that combining multi-scale local features with adaptive backend calibration is effective for cross-domain speaker retrieval.","Chuanqi Huang(Guangxi University); Wei Xie(Guangxi University; Guangxi Key Laboratory of Multimedia Communications and Network Technology); Xilu Wang(University of Surrey)","","","","","","","","","","","","","","","","","","",""
