"Session Sunday 27 September 2026 - Tutorials - Morning Sessions","Time ","Time ","Paper Title ","CN tbhead2 bg-c3","","","","","","","","","","","","","","","","","","","","",""
"Tutorials ","9:00","12:30","Balancing Speech, Language and Hearing Science with Machine Learning Modeling in the Age of AI: “Know your Problem, Data, and Solution
Advances in Data-Efficient Multilingual and Crosslingual Speech Recognition Powered by LLMs","","","","","","","","","","","","","","","","","","","","","",""
"Tutorials ","9:00","12:30","Deploying Speech Technologies for Linguistic and Clinical Research","","","","","","","","","","","","","","","","","","","","","",""
"Tutorials ","9:00","12:30","On the Landscape of Spoken Language Models","","","","","","","","","","","","","","","","","","","","","",""
"Tutorials ","9:00","12:30","Towards inclusive, personalised and empathetic spoken language systems","","","","","","","","","","","","","","","","","","","","","",""
"12:30 - 13:00 Lunch Break","","","","tbhead2 bg-c3","","","","","","","","","","","","","","","","","","","","",""
"Sunday 27 September 2026 - Tutorials - Afternoon Sessions","","","","tbhead2 bg-c3","","","","","","","","","","","","","","","","","","","","",""
"Tutorials ","13:30","17:00","Conversational Speech Recognition and Analysis- Progress, Challenges, and Emerging Opportunities with Speech Language Models","","","","","","","","","","","","","","","","","","","","","",""
"Tutorials ","13:30","17:00","Forensic Speaker Comparison in Practice - An Introduction","","","","","","","","","","","","","","","","","","","","","",""
"Tutorials ","13:30","17:00","Speaker Modeling beyond Recognition - Foundations, Cross-Task Applications and Responsible Deployment","","","","","","","","","","","","","","","","","","","","","",""
"Tutorials ","13:30","17:00","Speech Large Language Models for Under-Resourced Languages","","","","","","","","","","","","","","","","","","","","","",""
