"Session Thursday 1 October 2026 - 09:00-11:00 - Area 1 - Oral 4 - Modeling Articulation Survey Talk","Paper ID Surv-01-1","Time 09:00-09:40","Paper Title Bio-Informed Speech Processing, Modeling, and Generation","Presenting Author Yu Tsao","Abstract Conventional speech technologies rely primarily on acoustic signals, without explicitly accounting for the biological mechanisms underlying human speech production and perception. This survey examines bio-informed speech processing, modeling, and generation by integrating physiological signals with modern machine learning. We investigate how multimodal articulatory dynamics can enable robust motor-control representations and silent-speech interfaces. We further explore how neural markers and individualized hearing profiles can guide perceptual optimization, enhance speech quality, and maximize intelligibility. Grounding computational models in articulatory, muscular, and neuroauditory mechanisms establishes a transformative paradigm for next-generation assistive hearing devices, speech synthesis, and personalized communication systems across diverse speakers, communication environments, clinical needs, and application scenarios.","Authors ","CN tbhead2 bg-c2 ","","","","","","","","","","","","","","","","","",""
"Oral","664","09:40-10:00","ArtBoost: Synthetic Articulatory Data Augmentation for Acoustic-to-Articulatory Inversion","Hyung Kyu Kim","Recent acoustic-to-articulatory inversion (AAI) models rely on electromagnetic articulography (EMA) data, which are costly and limited in scale. To address this limitation, we propose ArtBoost, a novel data augmentation strategy that leverages large-scale speech-mesh datasets originally developed for speech-driven 3D facial animation to improve AAI under limited EMA supervision. ArtBoost extracts pseudo articulatory trajectories from visible facial anchors and uses them for pre-training before fine-tuning on real EMA data. Experiments show consistent improvements in PCC and RMSE. Trajectory analyses confirm that the pseudo articulatory signals reflect physically meaningful visible articulatory dynamics. Additional evaluations across different AAI architectures demonstrate stable performance gains, indicating that ArtBoost can be integrated into diverse AAI models. These results suggest that speech-mesh data provide an effective and scalable source of articulatory supervision for AAI. Project page: https://cau-irislab. github.io/Interspeech26-ArtBoost/","Hyung Kyu Kim(Chung-Ang University); Byungchan Hwang(Chung-Ang University); Hak Gu Kim(Chung-Ang University)","","","","","","","","","","","","","","","","","","",""
"Oral","2842","10:00-10:20","STArK: Towards Synthesizing Articulatory Kinematics from Text","Xavier Yin","Recent deep learning approaches in modeling articulatory kinematics have shown success in mapping speech audio to electromagnetic articulography (EMA) kinematics, but these methods are limited by the scarcity of high-quality articulatory datasets. We introduce synthesizing text to articulatory kinematics (STArK), which offers a novel approach in generating articulatory kinematics directly from text. We train STArK on the LibriTTS-R dataset with pseudo-labeled EMA features derived from a pre-trained speech-to-articulation model. STArK is the first model to demonstrate high-quality articulatory kinematics generation from text. STArK achieves comparable performance to existing multi-speaker text-to-speech models at speech synthesis, while supporting voice cloning without seeing speaker embeddings during training. STArK aims to enable the generation of scalable articulatory data from text corpora for downstream tasks.","Xavier Yin(Carnegie Mellon University); Carlos Busso(Carnegie Mellon University)","","","","","","","","","","","","","","","","","","",""
"Oral","2023","10:20-10:40","Physics-Informed Neural Operator for Speech Production Analysis","Kazuya Yokota","Physics-informed neural operators (PINOs) have recently gained attention as fast numerical simulators with potential for solving inverse problems. This study proposes the first PINO-based method for speech production analysis. The model learns the governing one-dimensional wave equations directly without requiring pre-computed supervised training data. Using vocal tract shape data as input features, we compare the proposed model's predicted f0, glottal volume velocity and sound pressure at the lip for five static vowels to a conventional Runge Kutta/Finite difference approach. With errors of 0.8% for glottal volume flow and 3.2% for speech waveforms, the proposed model enables efficient GPU-parallelized simulation without iterative calculations. We conclude that PINO is a promising approach for fast analysis of speech.","Kazuya Yokota(Nagaoka University of Technology); Xinmeng Luan(McGill University); Debasish Ray Mohapatra(University of British Columbia); Gary Scavone(McGill University); Sidney Fels(University of British Columbia)","","","","","","","","","","","","","","","","","","",""
"Oral","1804","10:40-11:00","PyPhonPlan: Simulating phonetic planning with dynamic neural fields and task dynamics","Sam Kirkham","We introduce PyPhonPlan, a Python toolkit for implementing dynamical models of phonetic planning using coupled dynamic neural fields and task dynamic simulations. The toolkit provides modular components for defining planning, perception and memory fields, as well as between-field coupling, gestural inputs, and using field activation profiles to solve tract variable trajectories. We illustrate the toolkit's capabilities through an example application: simulating production/perception loops with a coupled memory field, which demonstrates the framework's ability to model interactive speech dynamics using representations that are temporally-principled, neurally-grounded, and phonetically-rich. PyPhonPlan is released as open-source software and contains executable examples to promote reproducibility, extensibility, and cumulative computational development for speech communication research.","Sam Kirkham(Lancaster University)","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 09:00-11:00 - Area 4 - Oral 6 - Speaker Privacy and Anonymization","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","751","09:00-09:20","Privacy vs. Performance: Assessing Communication Utility of Anonymized Voice Features","Shogo Okada","Voice anonymization is essential for protecting user privacy, yet it may distort acoustic cues that are critical for communication assessment. In this work, we study the impact of phase vocoder time-scale modification (PV-TSM), a lightweight anonymization technique selected for operational efficiency, on acoustic and prosodic feature preservation. We integrate PV-TSM into an end-to-end speech analysis pipeline and evaluate its effects on acoustic features as well as automatic speech recognition (ASR) performance. Our results show that anonymization can largely preserve these features while effectively masking speaker identity. Further, fine-tuning the ASR model with anonymized speech mitigates recognition errors and restores downstream feature accuracy. These findings demonstrate that privacy protection and prosodic fidelity can coexist, enabling reliable communication assessment in privacy-sensitive contexts.","Amanda Chan(Educational Testing Service); Chee Wee Leong(Educational Testing Service); Candy Olivia Mawalim(Japan Advanced Institute of Science and Technology); Shogo Okada(Japan Advanced Institute of Science and Technology)","","","","","","","","","","","","","","","","","","",""
"Oral","1331","09:20-09:40","DiffAnon: Diffusion-based Prosody Control for Voice Anonymization","Ismail Rasim Ulgen","To preserve or not to preserve prosody is a central question in voice anonymization. Prosody conveys meaning and affect, yet is tightly coupled with speaker identity. Existing methods either discard prosody for privacy or lack a principled mechanism to control the utility-privacy trade-off, operating at fixed design points. We propose DiffAnon, a diffusion-based anonymization method with classifier-free guidance (CFG) that provides explicit, continuous inference-time control over prosody preservation. DiffAnon refines acoustic detail over semantic embeddings of an RVQ codec, enabling smooth interpolation between anonymization strength and prosodic fidelity within a single model. To the best of our knowledge, it is the first voice anonymization framework to provide structured, interpolatable inference-time prosody control. Experiments demonstrate structured trade-off behavior, achieving strong utility while maintaining competitive privacy across controllable operating points.","Ismail Rasim Ulgen(Johns Hopkins University); Zexin Cai(Johns Hopkins University); Nicholas Andrews(Johns Hopkins University); Philipp Koehn(Johns Hopkins University); Berrak Sisman(Johns Hopkins University)","","","","","","","","","","","","","","","","","","",""
"Oral","2910","09:40-10:00","DP-VOXLET: Provable Speaker Anonymization for Disentangled Speech Representations","Christopher Liberatore","Systems for speaker anonymization obfuscate the speaker of an utterance, while maintaining its original semantic contents and prosody. Recent solutions for speaker anonymization rely on learned representations that disentangle an utterance into semantic contents and speaker properties. To anonymize an utterance, these systems replace the speaker properties while leaving the semantic contents unchanged—an approach that can produce strong results on empirical measures of privacy. In this work, we introduce speaker differential privacy, a formal definition of speaker anonymization based on the framework of differential privacy, and a mechanism for speaker anonymization that provably satisfies the definition. In contrast to prior heuristic-based anonymization systems, our approach enables a provable lower bound on re-identification success rate (e.g. equal error rate) for any possible adversary. We implement our approach in a framework that is compatible with existing disentangled representations. Compared to the prior work on differential privacy for speaker anonymization, our approach achieves significantly higher utility.","Ivoline Ngong(University of Vermont); Jack D'Iorio(University of Vermont); Hailey Schoppe(University of Vermont); Christopher Liberatore(Galois, Inc.); Nichole Schimanski(Galois, Inc.); Taisa Kushner(Galois, Inc.); Joseph P. Near(University of Vermont)","","","","","","","","","","","","","","","","","","",""
"Oral","2061","10:00-10:20","Voice Privacy from an Attribute-based Perspective","Mehtab Ur Rahman","Voice privacy approaches that preserve the anonymity of speakers modify speech in an attempt to break the link with the true identity of the speaker. Current benchmarks measure speaker protection based on signal-to-signal comparisons. In this paper, we introduce an attribute-based perspective, where we measure privacy protection in terms of comparisons between sets of speaker attributes. First, we analyze privacy impact by calculating speaker uniqueness for ground truth attributes, attributes inferred on the original speech, and attributes inferred on speech protected with standard anonymization. Next, we examine a threat scenario involving only a single utterance per speaker and calculate attack error rates. Overall, we observe that inferred attributes still present a risk despite attribute inference errors. Our research points to the importance of considering both attribute-related threats and protection mechanisms in future voice privacy research.","Mehtab Ur Rahman(Centre for Language Studies); Martha Larson(Centre for Language Studies; Radboud University); Cristian Tejedor-Garcia(Centre for Language Studies)","","","","","","","","","","","","","","","","","","",""
"Oral","1949","10:20-10:40","Acoustic token admixture for joint speaker and content anonymization","Ali Golmakani","Speech recordings in regulated domains cannot be shared or reused for AI development without suppressing two independent re-identification channels: biometric speaker identity and linguistically identifying content. Existing approaches address each channel in isolation and require full re-synthesis, sacrificing the in-domain acoustic characteristics that make recordings valuable. We propose a unified acoustic token-space framework that jointly anonymizes both channels via per-frame admixture of encoder-derived and phoneme-conditioned tokens, with NER-triggered span replacement preserving surrounding prosody. On the VoicePrivacy 2024 benchmark the system achieves EER 42.54%, within one point of the challenge top submission, with WER 3.73%.","Ali Golmakani(Nijta SAS); Seyed Ahmad Hosseini(Nijta SAS); Omar Manil Bendali(Nijta SAS); Emmanuel Vincent(Nijta SAS; Université de Lorraine); Brij Mohan Lal Srivastava(Nijta SAS)","","","","","","","","","","","","","","","","","","",""
