"Session Tuesday 29 September 2026 - 09:00-11:00 - Area 2 - Oral 5 - Voice Quality Aspects of Speech","Paper ID ","Time ","Paper Title ","Presenting Author ","Abstract ","Authors ","CN tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","693","09:00-09:20","Tense Voice, Not Falsetto: An F0-specific Physiological Byproduct of Extreme High-Pitch Tone in Kaihui Xiang","Yi Zhang","Understanding the interplay between lexical tone and voice quality is crucial for disentangling physiological pitch mechanics from active phonological features, yet the phonatory characteristics of extreme high-pitch tones remain underexplored. In Xiang Chinese, the extreme high-pitch tone (T4) has traditionally been described as falsetto, though recent limited acoustic evidence suggests tense modal voice. To resolve this debate, this study conducts a multidimensional acoustic analysis across the whole tonal inventory of Kaihui Xiang. Results reveal that T4 is produced with tense modal voice, characterized by a flattened lower-frequency spectral tilt, rather than the steep tilt and turbulent noise typical of falsetto. Furthermore, results indicate this tense quality is an F0-specific physiological byproduct, since T4 and T6 exhibit indistinguishable voice qualities where their F0 levels converge.","Yi Zhang(City University of Hong Kong); Aini Li(City University of Hong Kong)","","","","","","","","","","","","","","","","","","",""
"Oral","1368","09:20-09:40","The role of phonation type in Chinese Jin tones: a study using acoustic metrics","Xiaojing Du","Tonal convergence in Huoji (Han-Xin subgroup, Jin Chinese) compresses f0 space, resulting in overlapping realisations of T1 and T5. Because syllable-final glottal constriction and irregular excitation are common in T5, late-vowel f0 can be weakly defined and tracker-dependent. We ask whether a T1-T5 distinction persists when f0 is compressed and locally unreliable. We compare Praat autocorrelation, YIN, and REAPER under harmonised low-f0 settings, and test whether residual T1-T5 separation is robust across trackers or supported by non-f0 cues. Speech from 17 native speakers was analysed for f0, TBU duration, HNR05, H1*-H2*, and auditory phonation. In MDS, f0-only spaces keep T5 nearest T1 across trackers, whereas adding HNR05 and H1*-H2* expands the space and separates T5 from T1. These results suggest that in Huoji, phonation-sensitive measures complement f0 for modelling T1-T5 distinctions when periodicity weakens near syllable end.","Xiaojing Du(University of Cambridge)","","","","","","","","","","","","","","","","","","",""
"Oral","1555","09:40-10:00","An investigation of post-stop breathiness in Australian English","Thomas Powell-Davies","Stops in English are described as having a voicing contrast. Phonetically, the contrast in onset position is seen as a distinction between short- and long-lag Voice Onset Time (VOT). VOT in onset stops has been studied to some extent in Australian English and other varieties, revealing a range of between-speaker variation. However, the release phase of stops can be more complex than what is able to be captured with VOT alone. Recent work observes periods of breathiness following aspiration for English voiceless stops, akin to observations for voiceless aspirated stops in languages such as Bengali. This study examines post-stop breathiness after onset /p, t, k/ in Australian English wordlist data from Tasmania. Releases with complex transitions in phonation make up over 40% of the data, with variation influenced by (socio-)linguistic factors. The way post-aspiration breathiness is handled has implications for how the stop voicing contrast is treated in English varieties.","Thomas Powell-Davies(Australian National University); Rosey Billington(Australian National University)","","","","","","","","","","","","","","","","","","",""
"Oral","2053","10:00-10:20","Acoustic correlates of voice quality settings: variation within and between individual speakers","Alice Paver","Since perceptual assessments of voice quality (VQ) are sometimes criticised as subjective, there is a tendency for acoustic measures to be treated as objective correlates of articulatory settings. Most acoustic studies generalise across speakers, despite VQ being highly speaker-specific; apparent effects may therefore reflect inter-speaker variation. Acoustic correlates of supralaryngeal VQ also remain underexplored. This study models group-level effects and speaker x quality interactions across multiple measures (CPP, spectral tilt, HNR, long-term formants) for diverse laryngeal and supralaryngeal settings. Group results showed increased spectral tilt measures for both breathy and nasal voice, as well as increased formant frequencies for breathy VQ. However, significant variation was found for individual speakers. These findings challenge assumptions concerning acoustic correlates of VQ and have implications for forensic phonetics and related fields.","Alice Paver(University of Cambridge); Kirsty McDougall(University of Cambridge)","","","","","","","","","","","","","","","","","","",""
"Oral","2832","10:20-10:40","Phonetic evidence for contrastive voicing in Nakanamanga coronal plosives","Shubo Li","For Nakanamanga, an understudied Oceanic language of Vanuatu, it has long been debated whether there is one or two coronal plosive phonemes. This uncertainty has affected historical reconstructions and the understanding of language relationships in the region. However, previous descriptive work has been limited in scope. Recent phonological analyses of Nakanamanga varieties argue for two contrastive phonemes, with voicing as part of the distinction, but acoustic evidence has not been examined. Based on data for the Tongoa variety, proposed to have a voiceless dental /t̪/ and a voiced prenasalised postalveolar /ⁿd/, this study investigates their phonetic realisation, VOT, and closure duration. Results show that /t̪/ is consistently voiceless, with positive VOT and shorter closure, while /ⁿd/ is reliably voiced, prenasalised, with negative VOT and longer closure; the nasal-to-oral closure ratio is 1.88:1. These findings provide clear acoustic support for a /t̪-ⁿd/ contrast in Nakanamanga.","Shubo Li(Australian National University)","","","","","","","","","","","","","","","","","","",""
"Oral","3235","10:40-11:00","A Corpus-Based Study of Creaky Voice Production in English and Mandarin","Charles Chang","Creaky voice has been extensively examined across varieties of English, but cross-linguistic sociophonetic research on it remains limited. This study presents an acoustic investigation of creaky voice production in Mandarin Chinese and US English, using read-speech corpora comprising 66 Mandarin speakers (34F) and 61 English speakers (28F). Audios were processed via a pipeline of segmentation, annotation, cleaning, and acoustic analysis. 5,874 vowel tokens were measured for F0, H1–H2c, HNR35, and CPP over the 70% mid-portion. Linear mixed-effects analyses revealed men produced creakier speech than women in both languages. Findings contradict the notion that creaky voice is predominantly a feature of young women’s speech in US English but align with findings of more creakiness in men’s speech. We discuss the Mandarin results in relation to recent work on Mandarin listeners’ social perception of creaky voice.","Meixian Li(Hong Kong PolyU); Yao Yao(Hong Kong PolyU); Charles Chang(Hong Kong CityU)","","","","","","","","","","","","","","","","","","",""
"Tuesday 29 September 2026 - 09:00-11:00 - Area 4 - Oral 4 - Speaker Verification and Anti-Spoofing","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","132","09:00-09:20","RAT: Reference-Augmented Training for ASV Anti-Spoofing","Vojtěch Staněk","We introduce a spoofing countermeasure architecture conditioned on speaker-reference recordings, but observe that it converges to a solution that effectively ignores the reference during inference. Surprisingly, training with a reference channel induces invariance that improves deepfake detection, even when the reference is absent or mismatched during inference. Based on this observation, we propose a Reference-Augmented Training (RAT) strategy. RAT yields improved detection performance compared to single-utterance baselines, even when the reference recording is replaced with a zero vector at inference. Through rigorous analysis, we demonstrate that the optimization process rapidly diminishes the reference contributions, leading to inference largely independent of the reference channel. Using RAT, we achieve state-of-the-art 2.57% EER and 0.074 minDCF on the ASVspoof 5 benchmark with a single detector, surpassing even large ensemble systems.","Vojtěch Staněk(Brno University of Technology); Anton Firc(Brno University of Technology); Jakub Reš(Brno University of Technology); Kamil Malinka(Brno University of Technology)","","","","","","","","","","","","","","","","","","",""
"Oral","2430","09:20-09:40","SpAArSIST: Sparsified AASIST for Efficient and Reliable Anti-Spoofing","Anton Firc","We present SpAArSIST, a deployment-oriented refinement of the widely used AASIST graph pooling backend for self-supervised learning (SSL) based anti-spoofing. Motivated by redundant operations in public implementations, we replace learned pooling and stack-node attention with explicit, lightweight choices: separate train and inference graph pooling ratios (ktr, kinf), magnitude-based node scoring, and mean aggregation of graph nodes. The best overall configuration (rank 1) cuts backend compute by 20.7% (195.045M → 154.706M MACs) and model size by 4.1% (611.8k → 586.4k params), while improving out-of-domain robustness on In-the-Wild to 2.82% EER and 0.078 minDCF (from 4.64% and 0.133) and remaining competitive on ASVspoof 5. We further provide a composite selection score that summarizes accuracy, calibration, and compute to support balanced deployment-oriented model choice.","Anton Firc(Brno University of Technology); Vojtěch Staněk(Brno University of Technology); Zbyněk Lička(Brno University of Technology); Kamil Malinka(Brno University of Technology); Martin Perešíni(Brno University of Technology)","","","","","","","","","","","","","","","","","","",""
"Oral","676","09:40-10:00","Linguistic Bias Mitigation for Spoofing Detection via Gradient Reversal and A Variational Information Bottleneck","Mickael Rouvier","Rapid advancements in generative speech technology have compromised the reliability of voice biometrics. While current spoofing detectors excel when assessed under in-domain conditions, generalisation to out-of-domain settings is often poor. We show that this can be due to linguistic bias. A reliance on linguistic cues observed in training data can then compromise robustness to cross-data. We propose a linguistic-invariant spoofing detection framework utilizing teacher-student adver-sarial learning. The linguistic-aware teacher model, pre-trained on linguistic content of an external dataset, guides the student detector via gradient reversal to minimize the linguistic information. To prevent the inadvertent removal of non-linguistic cues, we incorporate a Variational Information Bottleneck to enable suppression of principal cues. Across nine DF Arena datasets, our method achieves up to a 36.2% relative reduction in the EER compare to the baseline.","Anh-Tuan DAO(LIA; Avignon University); Driss Matrouf(LIA; Avignon University); Mickael Rouvier(LIA; Avignon University); Nicholas Evans(EURECOM)","","","","","","","","","","","","","","","","","","",""
